block,process,cell,method,phase,iteration,position,seconds,output_sha256
explore,1,original,F8,warmup,0,0,0.157767500000773,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,1,original,F16,warmup,0,1,0.16490230000636075,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,1,original,F8,retained,0,0,0.15882459901331458,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,1,original,F16,retained,0,1,0.16212113198707812,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,1,original,F16,retained,1,0,0.16076199398958124,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,1,original,F8,retained,1,1,0.159179556008894,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,1,original,F8,retained,2,0,0.16479027099558152,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,1,original,F16,retained,2,1,0.1632220080064144,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,1,k64,F16,warmup,0,0,0.16082945599919185,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,1,k64,F8,warmup,0,1,0.15583637899544556,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,1,k64,F16,retained,0,0,0.15773405200161505,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,1,k64,F8,retained,0,1,0.1558086699951673,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,1,k64,F8,retained,1,0,0.15819969298900105,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,1,k64,F16,retained,1,1,0.15971115200954955,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,1,k64,F16,retained,2,0,0.15775987500092015,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,1,k64,F8,retained,2,1,0.1559402470011264,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,1,k16,F8,warmup,0,0,0.08103546900383662,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,1,k16,F16,warmup,0,1,0.07754565299546812,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,1,k16,F8,retained,0,0,0.07045485399430618,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,1,k16,F16,retained,0,1,0.07498244299495127,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,1,k16,F16,retained,1,0,0.07453259199974127,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,1,k16,F8,retained,1,1,0.07024702099442948,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,1,k16,F8,retained,2,0,0.07011541801330168,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,1,k16,F16,retained,2,1,0.07485887600341812,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k4,F8,warmup,0,0,0.08556273000431247,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F16,warmup,0,1,0.49005505799141247,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F16,warmup,1,0,0.06212537099781912,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,warmup,1,1,0.05419336599879898,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,retained,0,0,0.05379843899572734,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F16,retained,0,1,0.05836752000323031,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F16,retained,1,0,0.058570330002112314,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,retained,1,1,0.05353436998848338,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,retained,2,0,0.05351411701121833,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F16,retained,2,1,0.05824343599670101,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F16,retained,3,0,0.05910357199900318,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,retained,3,1,0.05356940299679991,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,retained,4,0,0.05365349100611638,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F16,retained,4,1,0.05819278198760003,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F16,retained,5,0,0.058312459994340315,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,retained,5,1,0.053651367998099886,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k16,F16,warmup,0,0,0.0836841540003661,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,warmup,0,1,0.07011710999358911,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,warmup,1,0,0.06990854800096713,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,warmup,1,1,0.07462792900332715,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,retained,0,0,0.07415954199677799,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,retained,0,1,0.06956196299870498,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,retained,1,0,0.06957735000469256,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,retained,1,1,0.07411292799224611,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F16,retained,2,0,0.07419404199754354,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,retained,2,1,0.06955776899121702,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,retained,3,0,0.06954837500234134,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
