cell,method,process,repetition,query_seconds,output_count,output_sha256,peak_allocated_bytes,peak_reserved_bytes,output_finalize_seconds,batches
k64,pipeline,0,1,0.06185735900362488,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.004223491006996483,108
k64,pipeline,0,2,0.06231940700672567,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.0042799580114660785,108
k64,pipeline,0,3,0.06648758999654092,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.004247308999765664,108
k64,draft_serial,0,0,0.058039684998220764,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.004285674003767781,108
k64,draft_serial,0,1,0.05770559600205161,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.004203315998893231,108
k64,draft_serial,0,2,0.05795250400842633,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.004197280999505892,108
k64,draft_serial,0,3,0.059042932000011206,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.004253219987731427,108
k64,speculative,0,0,0.06377488300495315,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.0042657209996832535,108
k64,speculative,0,1,0.08102814400626812,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.018350783007917926,108
k64,speculative,0,2,0.06364965900138486,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.004199046001303941,108
k64,speculative,0,3,0.07029011100530624,3862998,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80,703663104,744488960,0.011004497006069869,108
original,original_full,0,0,0.05896690400550142,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,696690176,746586112,0.00430857200990431,108
original,original_full,0,1,0.07390734599903226,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,696690176,746586112,0.018140013999072835,108
original,original_full,0,2,0.05895987499388866,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,696690176,746586112,0.004238029010593891,108
original,original_full,0,3,0.07283672298945021,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,696690176,746586112,0.017760025992174633,108
original,project64,0,0,0.0666501070081722,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,697622016,738197504,0.01786234999599401,78
original,project64,0,1,0.0658906000026036,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,697622016,738197504,0.018513339993660338,78
original,project64,0,2,0.06618876900756732,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,697622016,738197504,0.01856245299859438,78
original,project64,0,3,0.06595564000599552,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,697622016,738197504,0.018365197989623994,78
original,packed16,0,0,0.07074953299888875,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,753066496,796917760,0.01819446300214622,62
original,packed16,0,1,0.0623073180031497,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,753066496,796917760,0.018659797991858795,62
original,packed16,0,2,0.06983815200510435,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,753066496,796917760,0.02485083500505425,62
original,packed16,0,3,0.06195409000793006,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,753066496,796917760,0.018387785996310413,62
original,sequential,0,0,0.07067677700251807,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.01845053199212998,108
original,sequential,0,1,0.07066713500535116,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.018639885005541146,108
original,sequential,0,2,0.08106877400132362,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.022064952994696796,108
original,sequential,0,3,0.07403137999062892,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.018571524997241795,108
original,pipeline,0,0,0.0772014670073986,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.018479377002222463,108
original,pipeline,0,1,0.08690776499861386,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.020339594993856736,108
original,pipeline,0,2,0.0871010889968602,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.022027511993655935,108
original,pipeline,0,3,0.07635023599141277,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.018375656989519484,108
original,draft_serial,0,0,0.07258341000124346,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.018522500002291054,108
original,draft_serial,0,1,0.07236803900741506,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.018601885007228702,108
original,draft_serial,0,2,0.08135626900184434,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.02192389300034847,108
original,draft_serial,0,3,0.07211516100505833,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.0183863270067377,108
original,speculative,0,0,0.07934574200771749,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.019587205999414437,108
original,speculative,0,1,0.07730063099006657,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.017910944006871432,108
original,speculative,0,2,0.08536470700346399,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.024887976003810763,108
original,speculative,0,3,0.06960475900268648,3926078,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,705989632,748683264,0.009858143006567843,108
k256,original_full,0,0,0.13819362501089927,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,973868544,1124073472,0.07151442399481311,108
k256,original_full,0,1,0.13591192400781438,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,973868544,1124073472,0.07332924799993634,108
k256,original_full,0,2,0.1323430409975117,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,973868544,1124073472,0.07198310700186994,108
k256,original_full,0,3,0.13403623399790376,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,973868544,1124073472,0.07134099600079935,108
k256,project64,0,0,0.12463983599445783,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,975213568,1119879168,0.07190588398952968,87
k256,project64,0,1,0.12504776699643116,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,975213568,1119879168,0.07248920199344866,87
k256,project64,0,2,0.1257901859935373,15429428,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611,975213568,1119879168,0.07184670800052118,87
