config_id,parent_id,split,N,k,T_hex,label,int8_ms,e3m4_ms,fp16_ms,O2_ms,O3_ms,int8_FP32,e3m4_FP32,fp16_FP32,output_count
clustered_101_n1024_k8,clustered_101,train,1024,8,0x1.8442008e05558p-4,tie,1.5275934758414946,1.521035531379879,1.5194212880257536,1.521035531379879,1.5194212880257536,6400,11909,276,8992
clustered_101_n1024_k128,clustered_101,train,1024,128,0x1.7d0e7048c5dabp-3,tie,3.3037191441302394,3.3460848255479174,3.2684764140227625,3.3037191441302394,3.2684764140227625,31060,58492,1324,133358
clustered_101_n4096_k8,clustered_101,train,4096,8,0x1.72ac7922cbab4p-4,tie,3.9151021499846044,4.050744863968739,3.948121635755263,3.9151021499846044,3.9151021499846044,38961,84442,1524,35658
clustered_101_n4096_k128,clustered_101,train,4096,128,0x1.a0a8bd51bf0c8p-4,tie,11.294136658431638,11.531308611853413,11.093480891882695,11.294136658431638,11.093480891882695,189471,319253,8250,506386
clustered_102_n1024_k8,clustered_102,train,1024,8,0x1.85674502b64e3p-4,tie,1.5342463544755585,1.5460318852724964,1.5388124440359123,1.5342463544755585,1.5342463544755585,6410,11868,278,8982
clustered_102_n1024_k128,clustered_102,train,1024,128,0x1.7970f08d96702p-3,tie,3.3210342264671873,3.3449824060128472,3.2962959187810608,3.3210342264671873,3.2962959187810608,31911,59797,1365,132418
clustered_102_n4096_k8,clustered_102,train,4096,8,0x1.74120418f0f3ep-4,tie,3.9112479448655475,3.9678787252410084,3.9584360815090958,3.9112479448655475,3.9112479448655475,41054,87015,1592,37908
clustered_102_n4096_k128,clustered_102,train,4096,128,0x1.a2579b7f6ed1cp-4,tie,11.595667186133564,11.80596890462464,11.38716336280788,11.595667186133564,11.38716336280788,188978,317664,8393,524306
clustered_103_n1024_k8,clustered_103,train,1024,8,0x1.850be3b126a6dp-4,tie,1.5367316200850019,1.5266500184457554,1.5315192566823226,1.5266500184457554,1.5266500184457554,6324,11725,255,9130
clustered_103_n1024_k128,clustered_103,train,1024,128,0x1.763f348dc7d4ap-3,tie,3.245974659241775,3.2976373461714457,3.234330644346299,3.245974659241775,3.234330644346299,30620,57319,1236,130686
clustered_103_n4096_k8,clustered_103,train,4096,8,0x1.72c62c49139aap-4,tie,3.8951533058483383,3.9246833669751995,3.928002300651272,3.8951533058483383,3.8951533058483383,39204,83458,1548,37480
clustered_103_n4096_k128,clustered_103,train,4096,128,0x1.a182a3076fa81p-4,tie,11.513918247185142,11.76719390593811,11.369274338576872,11.513918247185142,11.369274338576872,187249,314218,8183,522582
clustered_201_n1024_k8,clustered_201,validation,1024,8,0x1.83ecc5c0a72c1p-4,tie,1.524157159271155,1.5216675315136505,1.5303670068498438,1.5216675315136505,1.5216675315136505,6766,12336,295,9756
clustered_201_n1024_k128,clustered_201,validation,1024,128,0x1.7f5bcd1acf5cdp-3,tie,3.2935999209206406,3.3224380243306544,3.260128232503116,3.2935999209206406,3.260128232503116,32633,60762,1354,132326
