COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "-u", "src/runner.py", "--index", "3"]
{"layout": "clustered", "method": "F8", "phase": "repeat8", "i": 5, "seconds": 0.2446056709959521, "inner_seconds": 0.16004015300131869}
{"layout": "clustered", "method": "F8", "phase": "repeat8", "i": 6, "seconds": 0.24418265599524602, "inner_seconds": 0.16011818099650554}
{"layout": "clustered", "method": "F8", "phase": "repeat8", "i": 7, "seconds": 0.24448932099767262, "inner_seconds": 0.16017385300074238}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 0, "seconds": 0.2473349470019457, "inner_seconds": 0.16154508600448025}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 1, "seconds": 0.24645563900412526, "inner_seconds": 0.16192484999919543}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 2, "seconds": 0.24751790500158677, "inner_seconds": 0.1627203690004535}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 3, "seconds": 0.24658130800526123, "inner_seconds": 0.16205155000352534}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 4, "seconds": 0.24644320199877257, "inner_seconds": 0.16111904100398533}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 5, "seconds": 0.2460229549978976, "inner_seconds": 0.16156661399872974}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 6, "seconds": 0.2501593680062797, "inner_seconds": 0.1643928900011815}
{"layout": "clustered", "method": "F16", "phase": "repeat8", "i": 7, "seconds": 0.25115212200034875, "inner_seconds": 0.16661513000144623}
{"layout": "interleaved", "method": "F8", "phase": "repeat8", "i": 0, "seconds": 0.24578549199941335, "inner_seconds": 0.16067936699982965}
{"layout": "interleaved", "method": "F8", "phase": "repeat8", "i": 1, "seconds": 0.25910449599905405, "inner_seconds": 0.15950869899825193}
{"layout": "interleaved", "method": "F8", "phase": "repeat8", "i": 2, "seconds": 0.29953017699881457, "inner_seconds": 0.19393002099968726}
{"layout": "interleaved", "method": "F8", "phase": "repeat8", "i": 3, "seconds": 0.26686108599824365, "inner_seconds": 0.18286674599949038}
{"layout": "interleaved", "method": "F8", "phase": "repeat8", "i": 4, "seconds": 0.2861002669960726, "inner_seconds": 0.18132223499560496}
{"layout": "interleaved", "method": "F8", "phase": "repeat8", "i": 5, "seconds": 0.2968790080049075, "inner_seconds": 0.19201340799918398}
{"layout": "interleaved", "method": "F8", "phase": "repeat8", "i": 6, "seconds": 0.24611327000457095, "inner_seconds": 0.16061167000589194}
{"layout": "interleaved", "method": "F8", "phase": "repeat8", "i": 7, "seconds": 0.2452075210021576, "inner_seconds": 0.16060498399747303}
{"layout": "interleaved", "method": "F16", "phase": "repeat8", "i": 0, "seconds": 0.24860305699985474, "inner_seconds": 0.16400739700475242}
{"layout": "interleaved", "method": "F16", "phase": "repeat8", "i": 1, "seconds": 0.249322456002119, "inner_seconds": 0.1641186779961572}
{"layout": "interleaved", "method": "F16", "phase": "repeat8", "i": 2, "seconds": 0.24730455300596077, "inner_seconds": 0.16285013900051126}
{"layout": "interleaved", "method": "F16", "phase": "repeat8", "i": 3, "seconds": 0.24755161999928532, "inner_seconds": 0.16334602500137407}
{"layout": "interleaved", "method": "F16", "phase": "repeat8", "i": 4, "seconds": 0.24828773600165732, "inner_seconds": 0.163024242996471}
{"layout": "interleaved", "method": "F16", "phase": "repeat8", "i": 5, "seconds": 0.24801351700443774, "inner_seconds": 0.16362730500259204}
{"layout": "interleaved", "method": "F16", "phase": "repeat8", "i": 6, "seconds": 0.24721948400110705, "inner_seconds": 0.16270916599751217}
{"layout": "interleaved", "method": "F16", "phase": "repeat8", "i": 7, "seconds": 0.24890353999944637, "inner_seconds": 0.1641833229950862}
{"index": 3, "pass": true, "calls": 102}
