COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "@TENSORJOIN_ROOT@/tensorjoin_20260902_certified_exact_join/precision_routing_20260908_threshold_sweep/src/runner.py", "--phase", "confirm", "--index", "0"]
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.15786798199405894}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.15809886998613365}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.1603154269978404}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.16036861800239421}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.15867670300940517}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.15845616300066467}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.16088775100070052}
{"cell": "k256", "method": "F8", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.5686923039902467}
{"cell": "k256", "method": "F16", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.5612216570007149}
{"cell": "k256", "method": "F16", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.5618598009896232}
{"cell": "k256", "method": "F8", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.5680560239998158}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.5652507339982549}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.5594208940019598}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.5612052819924429}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.5664078020054149}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.5652291449951008}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.5610225930140587}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.5603372630139347}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.5655042410071474}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.5654712440009462}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.5602646199986339}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.5597552520048339}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.5678011939889984}
{"cell": "k1024", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 2.29352741499315}
{"cell": "k1024", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 2.316420864997781}
{"cell": "k1024", "method": "F8", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 2.3159874199918704}
{"cell": "k1024", "method": "F16", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 2.2849951590033015}
{"cell": "k1024", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 2.2797817579994444}
{"cell": "k1024", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 2.313494746995275}
{"cell": "k1024", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 2.3157364660000894}
{"cell": "k1024", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 2.2835441670031287}
{"cell": "k1024", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 2.282863706990611}
{"cell": "k1024", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 2.3168296170042595}
{"cell": "k1024", "method": "F8", "phase": "retained", "iteration": 3, "position": 0, "seconds": 2.313191042005201}
{"cell": "k1024", "method": "F16", "phase": "retained", "iteration": 3, "position": 1, "seconds": 2.289170327989268}
