layout,size,cell,threshold,family,blocks,pairs,positive_pairs,oracle_empty_blocks,oracle_full_blocks,oracle_resolved_fraction,rejected_blocks,accepted_blocks,resolved_fraction,resolved_pair_fraction,rejected_pairs,accepted_pairs,empty_block_recall,ordering_seconds,pivot_preprocessing_seconds,metadata_seconds,bound_seconds,false_reject_blocks,false_accept_blocks
original,32,k1024,0.5802154541015625,pivot,1758750,1800030000,30759403,357,0,0.00020298507462686568,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,0.49370441598875914,0,0
original,32,k1024,0.5802154541015625,combined,1758750,1800030000,30759403,357,0,0.00020298507462686568,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.2202431979967514,13.858721977972891,0,0
original,64,k4,0.26085758209228516,box,440391,1800030000,178659,348298,0,0.7908835557493228,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,2.8128071809915127,0,0
original,64,k4,0.26085758209228516,sphere,440391,1800030000,178659,348298,0,0.7908835557493228,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.5997204070008593,0,0
original,64,k4,0.26085758209228516,pivot,440391,1800030000,178659,348298,0,0.7908835557493228,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.1253332119958941,0,0
original,64,k4,0.26085758209228516,combined,440391,1800030000,178659,348298,0,0.7908835557493228,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,3.54124270498869,0,0
original,64,k16,0.32358765602111816,box,440391,1800030000,538429,192407,0,0.43690039078909426,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,2.8128071809915127,0,0
original,64,k16,0.32358765602111816,sphere,440391,1800030000,538429,192407,0,0.43690039078909426,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.5997204070008593,0,0
original,64,k16,0.32358765602111816,pivot,440391,1800030000,538429,192407,0,0.43690039078909426,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,0.1253332119958941,0,0
original,64,k16,0.32358765602111816,combined,440391,1800030000,538429,192407,0,0.43690039078909426,0,0,0.0,0.0,0,0,0.0,3.433700476307422e-05,1.2960049370012712,3.017297159996815,3.54124270498869,0,0
