block,process,cell,method,output_mode,phase,iteration,position,seconds,output_finalize_seconds,output_download_bytes,output_gpu_copy_bytes,cub_scratch_bytes,peak_allocated_bytes,peak_reserved_bytes,output_sha256
primary,0,k16,F16,gpu_radix,retained,3,1,0.05278314699535258,0.001490454000304453,8134864,4307432,8815103,627188736,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,legacy,warmup,0,0,0.1527266939956462,0.020856552000623196,4307432,0,0,469237760,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,gpu_radix,warmup,0,1,0.1307162459997926,0.00150896399281919,8134864,4307432,8815103,495282688,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,legacy,retained,0,0,0.1519926309993025,0.02076383300300222,4307432,0,0,469237760,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,gpu_radix,retained,0,1,0.13081604399485514,0.0015225509996525943,8134864,4307432,8815103,495282688,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,gpu_radix,retained,1,0,0.12930353499541525,0.0012341849942458794,8134864,4307432,8815103,495282688,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,legacy,retained,1,1,0.15245314300409518,0.02083623199723661,4307432,0,0,469237760,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,legacy,retained,2,0,0.15136122699186672,0.020943465002346784,4307432,0,0,469237760,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,gpu_radix,retained,2,1,0.1302897380082868,0.0015385089936899021,8134864,4307432,8815103,495282688,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,gpu_radix,retained,3,0,0.1301316539902473,0.0012315219937590882,8134864,4307432,8815103,495282688,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F32,legacy,retained,3,1,0.15008987100736704,0.02094915600901004,4307432,0,0,469237760,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,gpu_radix,warmup,0,0,0.048235224006930366,0.0014808660052949563,8134864,4307432,8815103,626948608,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,legacy,warmup,0,1,0.06917077201069333,0.02068396398681216,4307432,0,0,600590336,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,gpu_radix,retained,0,0,0.048259707997203805,0.001481573999626562,8134864,4307432,8815103,626948608,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,legacy,retained,0,1,0.06920446900767274,0.020645455006160773,4307432,0,0,600590336,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,legacy,retained,1,0,0.06927793400245719,0.020739430998219177,4307432,0,0,600590336,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,gpu_radix,retained,1,1,0.048118300997884944,0.0014901410031598061,8134864,4307432,8815103,626948608,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,gpu_radix,retained,2,0,0.04778451799938921,0.0013891609996790066,8134864,4307432,8815103,626948608,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,legacy,retained,2,1,0.06915343100263271,0.020683975002611987,4307432,0,0,600590336,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,legacy,retained,3,0,0.06950275099370629,0.020730458010802977,4307432,0,0,600590336,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k16,F8,gpu_radix,retained,3,1,0.04794815399509389,0.0014813989982940257,8134864,4307432,8815103,626948608,637534208,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
primary,0,k64,F32,legacy,warmup,0,0,0.23243187299522106,0.09611813099763822,15691992,0,0,469237760,482344960,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F32,gpu_radix,warmup,0,1,0.15489298300235532,0.01818879399797879,30903984,15691992,32091135,564243456,612368384,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F32,legacy,retained,0,0,0.2365583110076841,0.09497551999811549,15691992,0,0,469237760,612368384,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F32,gpu_radix,retained,0,1,0.1482381470123073,0.01781904599920381,30903984,15691992,32091135,564243456,612368384,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F32,gpu_radix,retained,1,0,0.14740662000258453,0.01781319099245593,30903984,15691992,32091135,564243456,612368384,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F32,legacy,retained,1,1,0.23652273099287413,0.09543119599402416,15691992,0,0,469237760,612368384,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F32,legacy,retained,2,0,0.23992656699556392,0.09690915000101086,15691992,0,0,469237760,612368384,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F32,gpu_radix,retained,2,1,0.14833146100863814,0.01824762199248653,30903984,15691992,32091135,564243456,612368384,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F32,gpu_radix,retained,3,0,0.14929595300054643,0.019261973997345194,30903984,15691992,32091135,564243456,612368384,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F32,legacy,retained,3,1,0.23412235999421682,0.09424966499500442,15691992,0,0,469237760,612368384,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,gpu_radix,warmup,0,0,0.07168837399512995,0.016177840996533632,30903984,15691992,32091135,696924160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,legacy,warmup,0,1,0.15683742999681272,0.09453872000449337,15691992,0,0,602064896,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,gpu_radix,retained,0,0,0.06990238701109774,0.016028911995817907,30903984,15691992,32091135,696924160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,legacy,retained,0,1,0.15722265299700666,0.09495226699800696,15691992,0,0,602064896,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,legacy,retained,1,0,0.15710012400813866,0.09461399698921014,15691992,0,0,602064896,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,gpu_radix,retained,1,1,0.06930171900603455,0.01605435399687849,30903984,15691992,32091135,696924160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,gpu_radix,retained,2,0,0.069113927995204,0.0159317889920203,30903984,15691992,32091135,696924160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,legacy,retained,2,1,0.15728049899917096,0.09545097599038854,15691992,0,0,602064896,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,legacy,retained,3,0,0.15691615200194065,0.09476173500297591,15691992,0,0,602064896,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F8,gpu_radix,retained,3,1,0.06926791499427054,0.015958047995809466,30903984,15691992,32091135,696924160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,legacy,warmup,0,0,0.162756662000902,0.0941551400028402,15691992,0,0,600830464,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,gpu_radix,warmup,0,1,0.07053306799207348,0.014958749001380056,30903984,15691992,32091135,695836160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,legacy,retained,0,0,0.15928433499357197,0.09439559200836811,15691992,0,0,600830464,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,gpu_radix,retained,0,1,0.07078135399206076,0.015265265014022589,30903984,15691992,32091135,695836160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,gpu_radix,retained,1,0,0.0708005459891865,0.015164290001848713,30903984,15691992,32091135,695836160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,legacy,retained,1,1,0.1591122100071516,0.09492990901344456,15691992,0,0,600830464,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,legacy,retained,2,0,0.1589409180014627,0.09411616598663386,15691992,0,0,600830464,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,gpu_radix,retained,2,1,0.07115164800779894,0.015333112998632714,30903984,15691992,32091135,695836160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,gpu_radix,retained,3,0,0.07231370800582226,0.015167172998189926,30903984,15691992,32091135,695836160,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,k64,F16,legacy,retained,3,1,0.1589523169968743,0.09456298800068907,15691992,0,0,600830464,746586112,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
primary,0,original,F8,gpu_radix,warmup,0,0,0.07515805499861017,0.019320772000355646,31408624,15944312,32606975,699397120,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,legacy,warmup,0,1,0.15738393198989797,0.09779341200191993,15944312,0,0,602064896,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,gpu_radix,retained,0,0,0.06921258599322755,0.015537241008132696,31408624,15944312,32606975,699397120,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,legacy,retained,0,1,0.15843779299757443,0.09643090899044182,15944312,0,0,602064896,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,legacy,retained,1,0,0.1596402559953276,0.09720959600235801,15944312,0,0,602064896,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
primary,0,original,F8,gpu_radix,retained,1,1,0.06904453400056809,0.015562221000436693,31408624,15944312,32606975,699397120,746586112,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
