cell,method,configuration,baseline,saving_fraction,saving_ci95,process_savings,passes_5pct_gate,primary
k1024,F8,fm25,heuristic25,-0.1296106600533966,"[-0.15184357456005237, -0.11054443421188664]","[-0.11723094735713935, -0.1438428111630634, -0.12856922726289288]",False,True
k1024,F8,fm25,direct25,-0.027924958691047275,"[-0.05151281595902102, -0.0003174869916776978]","[-0.002106640741709853, -0.04949177787482539, -0.03408921330505277]",False,True
k1024,F16,all,pca,-0.10654241759173977,"[-0.1177817764919924, -0.09552148443701558]","[-0.12003166047677616, -0.09984280399465195, -0.10004669622020934]",False,False
k1024,F16,heuristic25,pca,-0.05777515403028666,"[-0.09844218047897592, -0.03984637692335231]","[-0.08582054011210438, -0.04303401954334607, -0.04503404927081944]",False,False
k1024,F16,random25,pca,-0.08578792788031331,"[-0.15577294323419738, -0.05886918548504623]","[-0.11571375005563511, -0.087345652331422, -0.055925361523499584]",False,False
k1024,F16,direct25,pca,-0.1714632687552058,"[-0.23762490874538833, -0.15839585843386517]","[-0.18499742812246578, -0.17307574206138332, -0.15710331316887238]",False,False
k1024,F16,fm05,pca,-0.18463745892098848,"[-0.26919815017000026, -0.16628573630530874]","[-0.20627900735001825, -0.18364604988445232, -0.16503459635107665]",False,False
k1024,F16,fm10,pca,-0.18467227712463985,"[-0.2151427946489952, -0.17264444555518388]","[-0.1893325735104665, -0.18478421454314042, -0.1801447667929128]",False,False
k1024,F16,fm25,pca,-0.19723358621803055,"[-0.23344713292127586, -0.18001425936133375]","[-0.22360200646428452, -0.19110647878325193, -0.1779780263369457]",False,True
k1024,F16,fm25,heuristic25,-0.1318412818228767,"[-0.14505012479151436, -0.11532672404260502]","[-0.12689156381030986, -0.1419632116167544, -0.12721497175990493]",False,True
k1024,F16,fm25,direct25,-0.021998399907329658,"[-0.03585640740755469, 0.026745791506814998]","[-0.03257777394756434, -0.015370479565270267, -0.018040492089600235]",False,True
