process,repeat,cell,method,configuration,seconds,executed_tiles,output_count,output_sha256,tile_mask_sha256
0,1,k16,F16,heuristic25,0.057842832000460476,329487,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,939fe000fba6ee9a294ab22df5bdfbd2b9a59eee6e8bb6f8e597f9011cea49f3
0,2,k16,F16,random25,0.06253777800884563,354663,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,0c002045aa962c073423462d4fdcc1c392a5f3585b39d156ed43ace4fd07aa94
0,2,k16,F16,direct25,0.07676683099998627,333793,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,3a2ba1f9062c5988cf2aa5a5e2a5b08ea947ce6f25743cd05dee0cc524fbeb71
0,2,k16,F16,fm05,0.08136219999869354,357583,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,4a151dbdf15b3a4ee4caecd17cb353473506e12d75c04c46d8b7396ab89010d0
0,2,k16,F16,fm10,0.07883847400080413,342591,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,477abd01e379a5fd358ba2a2478b3c39d09273ab34a3b1841f5699b12f8f5c1e
0,2,k16,F16,fm25,0.08007976099906955,318292,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,974305fea1ce71f9eb2fb3dfbeffdb85d2c9628a138fa7a03946fde7051ef091
0,2,k16,F16,pca,0.053608150003128685,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,a788b9970e57ad915b3504517bc00790d9ce2b1b2bc77b688555289c6ac51109
0,2,k16,F16,all,0.06533207699249033,316711,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,769e4197850e5b631e496f68cd2feb94def6ce56ae83664deca452463eece732
0,2,k16,F16,heuristic25,0.057334846002049744,329487,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,939fe000fba6ee9a294ab22df5bdfbd2b9a59eee6e8bb6f8e597f9011cea49f3
0,2,k16,F8,random25,0.06700936800916679,354663,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,0c002045aa962c073423462d4fdcc1c392a5f3585b39d156ed43ace4fd07aa94
0,2,k16,F8,direct25,0.07443915499607101,333793,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,3a2ba1f9062c5988cf2aa5a5e2a5b08ea947ce6f25743cd05dee0cc524fbeb71
0,2,k16,F8,fm05,0.07572440900548827,357583,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,4a151dbdf15b3a4ee4caecd17cb353473506e12d75c04c46d8b7396ab89010d0
0,2,k16,F8,fm10,0.07687847099441569,342591,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,477abd01e379a5fd358ba2a2478b3c39d09273ab34a3b1841f5699b12f8f5c1e
0,2,k16,F8,fm25,0.08283876201312523,318292,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,974305fea1ce71f9eb2fb3dfbeffdb85d2c9628a138fa7a03946fde7051ef091
0,2,k16,F8,pca,0.050867922996985726,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,a788b9970e57ad915b3504517bc00790d9ce2b1b2bc77b688555289c6ac51109
0,2,k16,F8,all,0.06479730100545567,316711,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,769e4197850e5b631e496f68cd2feb94def6ce56ae83664deca452463eece732
0,2,k16,F8,heuristic25,0.05545948400686029,329487,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,939fe000fba6ee9a294ab22df5bdfbd2b9a59eee6e8bb6f8e597f9011cea49f3
0,3,k16,F8,random25,0.060521833001985215,354663,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,0c002045aa962c073423462d4fdcc1c392a5f3585b39d156ed43ace4fd07aa94
0,3,k16,F8,heuristic25,0.055549151002196595,329487,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,939fe000fba6ee9a294ab22df5bdfbd2b9a59eee6e8bb6f8e597f9011cea49f3
0,3,k16,F8,all,0.06669493099616375,316711,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,769e4197850e5b631e496f68cd2feb94def6ce56ae83664deca452463eece732
0,3,k16,F8,pca,0.05016386399802286,367280,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,a788b9970e57ad915b3504517bc00790d9ce2b1b2bc77b688555289c6ac51109
0,3,k16,F8,fm25,0.07796207199862693,318292,1016858,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85,974305fea1ce71f9eb2fb3dfbeffdb85d2c9628a138fa7a03946fde7051ef091
