process,method_order,inner_seconds,seconds,hash,count,layout,method,phase,iteration
0,8_16,0.15911265199974878,0.24490683899784926,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F16,repeat8,7
0,8_16,0.15626165700086858,0.24151507199712796,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F8,repeat8,0
0,8_16,0.1569686430011643,0.2419793419976486,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F8,repeat8,1
0,8_16,0.15630453299672808,0.24178879899409367,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F8,repeat8,2
0,8_16,0.15610522799397586,0.24104174600506667,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F8,repeat8,3
0,8_16,0.15622831700602546,0.24159750399849145,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F8,repeat8,4
0,8_16,0.15631057100108592,0.24262926899973536,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F8,repeat8,5
0,8_16,0.15665407599590253,0.24169900299602887,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F8,repeat8,6
0,8_16,0.15614570299658226,0.24091404299542774,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,original,F8,repeat8,7
1,16_8,0.6217388260047301,0.7085194630053593,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,warmup,0
1,16_8,0.16315760200086515,0.24795472600089852,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,warmup,1
1,16_8,0.1640044560044771,0.24879017200146336,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,0
1,16_8,0.16269819700391963,0.24734402000467526,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,1
1,16_8,0.16224944100395078,0.2470184199992218,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,2
1,16_8,0.16178403399680974,0.2463911829981953,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,3
1,16_8,0.16517503099748865,0.24998438500188058,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,4
1,16_8,0.16321347099437844,0.24796621899440652,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495,3926078,clustered,F16,retained,5
