layout,kind,cell,full_offdiag_occupied_tiles,candidate_count_quantiles,candidate_density_median,few6_fraction,few16_fraction,few64_fraction,oracle_empty_survivor_tiles,oracle_empty_candidate_count_quantiles,oracle_empty_few64_fraction,active_rows_quantiles,active_cols_quantiles,cover8_fraction,cover16_fraction,both_full64_fraction,oracle_empty_cover8_fraction,sparse_exception_gate
original,r64,k16,438505,"[1.0, 14.0, 18.0, 23.0, 29.0, 40.0, 80.0]",0.00439453125,0.018747790789158617,0.40324283645568465,0.9999635123886843,191744,"[1.0, 12.0, 16.0, 21.0, 26.0, 36.0, 70.0]",0.9999843541388518,"[1.0, 9.0, 12.0, 14.0, 16.0, 20.0, 30.0]","[1.0, 9.0, 12.0, 14.0, 16.0, 20.0, 31.0]",0.23905086601064982,0.966155460028962,0.0,0.32843791722296395,True
original,r64,k64,438516,"[13.0, 58.0, 70.0, 83.0, 97.0, 124.0, 211.0]",0.01708984375,0.0,9.121674009614244e-06,0.38111266179569275,30040,"[13.0, 48.0, 58.0, 71.0, 82.0, 106.0, 172.0]",0.6369840213049268,"[9.0, 25.0, 28.0, 31.0, 33.0, 38.0, 47.0]","[9.0, 25.0, 28.0, 31.0, 33.0, 38.0, 48.0]",0.0,0.00815249614609273,0.0,0.0,True
original,r64,original,438516,"[13.0, 59.0, 71.0, 84.0, 98.0, 126.0, 211.0]",0.017333984375,0.0,4.560837004807122e-06,0.3599709018599093,28975,"[13.0, 49.0, 59.0, 71.0, 83.0, 108.0, 175.0]",0.6194995685936152,"[9.0, 25.0, 28.0, 31.0, 33.0, 38.0, 48.0]","[9.0, 25.0, 28.0, 31.0, 33.0, 38.0, 48.0]",0.0,0.007082979868465461,0.0,0.0,True
original,r64,k256,438516,"[73.0, 194.0, 222.0, 251.0, 281.0, 340.0, 467.0]",0.05419921875,0.0,0.0,0.0,130,"[99.0, 145.25, 169.0, 191.0, 217.40000000000003, 291.3099999999996, 310.0]",0.0,"[26.0, 43.0, 46.0, 48.0, 51.0, 54.0, 60.0]","[27.0, 43.0, 46.0, 48.0, 51.0, 54.0, 61.0]",0.0,0.0,0.0,0.0,False
original,r64,k1024,438516,"[288.0, 523.0, 577.0, 634.0, 690.0, 799.0, 1021.0]",0.140869140625,0.0,0.0,0.0,0,,,"[45.0, 56.0, 58.0, 60.0, 61.0, 63.0, 64.0]","[47.0, 56.0, 58.0, 60.0, 61.0, 63.0, 64.0]",0.0,0.0,0.0,,False
random,oracle,k4,90528,"[1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 12.0]",0.000244140625,0.9991825733474726,1.0,1.0,0,,,,,,,,,
random,oracle,k16,244318,"[1.0, 1.0, 1.0, 2.0, 4.0, 7.0, 25.0]",0.000244140625,0.986894129781678,0.9999754418421892,1.0,0,,,,,,,,,
random,oracle,k64,407044,"[1.0, 2.0, 4.0, 6.0, 9.0, 15.0, 43.0]",0.0009765625,0.7683026896355185,0.9932980218354772,1.0,0,,,,,,,,,
random,oracle,original,408194,"[1.0, 2.0, 4.0, 6.0, 9.0, 16.0, 43.0]",0.0009765625,0.7618901796694709,0.9928171408692925,1.0,0,,,,,,,,,
random,oracle,k256,438396,"[1.0, 11.0, 16.0, 22.0, 29.0, 44.0, 88.0]",0.00390625,0.06573052673838264,0.5177830089690599,0.9998083924123395,0,,,,,,,,,
random,oracle,k1024,438516,"[8.0, 53.0, 67.0, 83.0, 101.0, 135.0, 209.0]",0.016357421875,0.0,0.00024172436125477747,0.4507954099736384,0,,,,,,,,,
random,r16,k4,438516,"[135.0, 248.0, 277.0, 310.0, 341.0, 400.0, 576.0]",0.067626953125,0.0,0.0,0.0,347988,"[135.0, 248.0, 278.0, 310.0, 342.0, 401.0, 576.0]",0.0,"[37.0, 52.0, 54.0, 56.0, 57.0, 60.0, 64.0]","[36.0, 51.0, 54.0, 56.0, 57.0, 60.0, 64.0]",0.0,0.0,0.0,0.0,False
random,r16,k16,438516,"[307.0, 515.0, 565.0, 617.0, 668.0, 762.0, 1072.0]",0.137939453125,0.0,0.0,0.0,194198,"[310.0, 519.0, 568.0, 622.0, 674.0, 771.0, 1072.0]",0.0,"[49.0, 59.0, 60.0, 62.0, 63.0, 64.0, 64.0]","[49.0, 59.0, 60.0, 62.0, 63.0, 64.0, 64.0]",0.0,0.0,0.0006111521586441544,0.0,False
random,r16,k64,438516,"[599.0, 910.0, 980.0, 1054.0, 1124.0, 1253.0, 1694.0]",0.2392578125,0.0,0.0,0.0,31472,"[619.0, 921.0, 992.0, 1069.0, 1144.0, 1287.0, 1576.0]",0.0,"[55.0, 62.0, 63.0, 64.0, 64.0, 64.0, 64.0]","[56.0, 62.0, 63.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.0876661284879001,0.0,False
