layout,kind,cell,parent,child,full_offdiag_occupied_parents,active_child_quantiles,mean_active_children,active_child_fraction,top_child_mass_quantiles,at_most_quarter_children_fraction,capacity_reduction,subtile_opportunity_gate
random,r64,original,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06978879706152434, 0.08451957295373666, 0.09062170706006323, 0.09820732657833203, 0.10633802816901408, 0.12270066647348599, 0.14959202175883954]",0.0,0.0,False
random,r64,original,64,16,438516,"[7.0, 15.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.373258900473415,0.9608286812795884,"[0.07142857142857142, 0.12121212121212122, 0.13793103448275862, 0.1590909090909091, 0.1836734693877551, 0.23809523809523808, 0.3902439024390244]",0.0,0.03916080509769282,False
random,r64,k256,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06691749529696318, 0.07798800184586986, 0.08214474379292129, 0.08722171393717597, 0.09276018099547512, 0.10343762359455347, 0.12254335260115606]",0.0,0.0,False
random,r64,k256,64,16,438516,"[14.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.996684271497505,0.9997927669685941,"[0.07096774193548387, 0.0990990990990991, 0.109375, 0.12244897959183673, 0.136986301369863, 0.16901408450704225, 0.24870466321243523]",0.0,0.00020721432420567343,False
random,r64,k1024,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06533940485015355, 0.07338172417221836, 0.0763614237906906, 0.07993771087464313, 0.08373893805309734, 0.09165507028822634, 0.10509697789806044]",0.0,0.0,False
random,r64,k1024,64,16,438516,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06743421052631579, 0.08687943262411348, 0.09375, 0.10240963855421686, 0.11174242424242424, 0.13170731707317074, 0.18160919540229886]",0.0,0.0,False
kd_variance,oracle,k4,256,64,5362,"[1.0, 1.0, 2.0, 4.0, 7.0, 15.0, 16.0]",3.0192092502797463,0.18870057814248414,"[0.0979381443298969, 0.45454545454545453, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0]",0.8024990675121223,0.8052815401121354,True
kd_variance,oracle,k4,64,16,16599,"[1.0, 1.0, 1.0, 3.0, 6.0, 13.0, 16.0]",2.489125850954877,0.1555703656846798,"[0.09375, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]",0.8587866738960178,0.8390581322647601,True
kd_variance,oracle,k16,256,64,11306,"[1.0, 1.0, 3.0, 6.0, 11.0, 16.0, 16.0]",4.418715726163099,0.2761697328851937,"[0.09615384615384616, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0]",0.6515124712542013,0.7205333671942267,True
kd_variance,oracle,k16,64,16,50609,"[1.0, 1.0, 2.0, 4.0, 7.0, 15.0, 16.0]",2.9502262443438916,0.18438914027149322,"[0.08061749571183534, 0.4, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0]",0.8114367009820388,0.8134575473894701,True
kd_variance,oracle,k64,256,64,20423,"[1.0, 2.0, 5.0, 11.0, 15.0, 16.0, 16.0]",6.666552416393282,0.4166595260245801,"[0.08997469955724226, 0.25, 0.34615384615384615, 0.5172413793103449, 1.0, 1.0, 1.0]",0.44601674582578466,0.5812552898796095,True
kd_variance,oracle,k64,64,16,137173,"[1.0, 1.0, 2.0, 5.0, 9.0, 16.0, 16.0]",3.7194345826073643,0.23246466141296027,"[0.08497536945812807, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0]",0.7201344287870062,0.7664909293379405,True
kd_variance,oracle,original,256,64,20515,"[1.0, 2.0, 5.0, 11.0, 15.0, 16.0, 16.0]",6.70806726785279,0.4192542042407994,"[0.09072391099968662, 0.2461829836829837, 0.34210526315789475, 0.5, 1.0, 1.0, 1.0]",0.44318791128442603,0.5786731357791142,True
kd_variance,oracle,original,64,16,138642,"[1.0, 1.0, 2.0, 5.0, 9.0, 16.0, 16.0]",3.7325125142453226,0.23328203214033266,"[0.08485639686684072, 0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0]",0.7186855354077408,0.7656784039714666,True
kd_variance,oracle,k256,256,64,26108,"[1.0, 7.0, 12.0, 16.0, 16.0, 16.0, 16.0]",10.958441856902098,0.6849026160563811,"[0.0794460641399417, 0.17349352990407518, 0.23076923076923078, 0.3333333333333333, 0.5, 1.0, 1.0]",0.14091466217251417,0.314083385914501,True
kd_variance,oracle,k256,64,16,287482,"[1.0, 2.0, 4.0, 8.0, 13.0, 16.0, 16.0]",5.496552827655297,0.34353455172845604,"[0.07620164126611957, 0.25, 0.375, 0.625, 1.0, 1.0, 1.0]",0.5317585100980236,0.6558009980618676,True
kd_variance,oracle,k1024,256,64,27210,"[1.0, 15.0, 16.0, 16.0, 16.0, 16.0, 16.0]",14.765417126056597,0.9228385703785373,"[0.07518022657054584, 0.12974683544303797, 0.1602241336012054, 0.2065430985380672, 0.2777777777777778, 0.5, 1.0]",0.01492098493201029,0.07758715120555526,False
kd_variance,oracle,k1024,64,16,403353,"[1.0, 5.0, 9.0, 14.0, 16.0, 16.0, 16.0]",9.308367608521568,0.581772975532598,"[0.07236842105263158, 0.17647058823529413, 0.24528301886792453, 0.35294117647058826, 0.5, 1.0, 1.0]",0.21693157110521058,0.4178065162924529,True
kd_variance,r16,k4,256,64,27261,"[4.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.893694288544074,0.9933558930340046,"[0.06812709226522581, 0.10116148370176097, 0.11921536123774001, 0.14705097411262344, 0.1835883171070932, 0.2885974025974027, 0.7139705882352941]",0.00011004732034774953,0.007687345050506611,False
kd_variance,r16,k4,64,16,435417,"[1.0, 13.0, 16.0, 16.0, 16.0, 16.0, 16.0]",13.981530349067675,0.8738456468167297,"[0.0703971119133574, 0.11827956989247312, 0.14739884393063585, 0.19718309859154928, 0.27450980392156865, 0.6666666666666666, 1.0]",0.03200150660171743,0.12613380836603538,False
kd_variance,r16,k16,256,64,27261,"[8.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.976303143685119,0.9985189464803199,"[0.06774170582372206, 0.09289187643020595, 0.10751697939449753, 0.1299824517422913, 0.15919923736892277, 0.24616327058166879, 0.5951343500363108]",0.0,0.0022892645027545733,False
kd_variance,r16,k16,64,16,437795,"[1.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.057054100663553,0.9410658812914721,"[0.06767586821015138, 0.1033434650455927, 0.12483574244415244, 0.16049382716049382, 0.21311475409836064, 0.4166666666666667, 1.0]",0.009700887401637753,0.059075693971504584,False
kd_variance,r16,k64,256,64,27261,"[12.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.99578151938667,0.9997363449616669,"[0.06626617619816338, 0.08588329478740438, 0.09769304947704176, 0.11618257261410789, 0.13989071038251366, 0.21103252007129528, 0.5205223880597015]",0.0,0.0007918801353310467,False
kd_variance,r16,k64,64,16,438379,"[1.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.592505571662876,0.9745315982289298,"[0.06637330399706637, 0.0921595598349381, 0.1083398285268901, 0.13527397260273974, 0.1735159817351598, 0.3053097345132743, 1.0]",0.0026552366787642658,0.02570967304635907,False
kd_variance,r16,original,256,64,27261,"[13.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.995891566707018,0.9997432229191886,"[0.0662993620498761, 0.08580170561812382, 0.09761502128403989, 0.11596958174904944, 0.13978201634877385, 0.21050160612799612, 0.5185185185185185]",0.0,0.0007827780648100857,False
kd_variance,r16,original,64,16,438383,"[1.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.596841118382784,0.974802569898924,"[0.06654478976234003, 0.09203980099502487, 0.10815939278937381, 0.13503649635036497, 0.17307692307692307, 0.30434782608695654, 1.0]",0.002620995795913619,0.025437870796854334,False
kd_variance,r16,k256,256,64,27261,"[13.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.999596493158725,0.9999747808224203,"[0.06461388273098904, 0.07953545232273838, 0.08908973531310523, 0.10373785608430759, 0.12302215189873418, 0.180992343559249, 0.41551849166062366]",0.0,0.0002468936628834406,False
kd_variance,r16,k256,64,16,438502,"[1.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.84287186831531,0.9901794917697069,"[0.06499826207855405, 0.08317214700193423, 0.09523809523809523, 0.11574074074074074, 0.14455206368195836, 0.23529411764705882, 1.0]",0.0006111716708247625,0.010128411875519938,False
kd_variance,r16,k1024,256,64,27261,"[15.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.999963317559883,0.9999977073474927,"[0.06327560579349442, 0.07402866842700867, 0.08136745301879249, 0.09282925689879543, 0.10811995241970826, 0.15384277139642574, 0.3386292834890966]",0.0,7.850535824405203e-05,False
kd_variance,r16,k1024,64,16,438515,"[1.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.945511556047114,0.9965944722529446,"[0.06376021798365122, 0.0758444869343531, 0.08460918614020951, 0.09983361064891846, 0.1216357386398394, 0.18763207061357018, 1.0]",6.841271108171899e-05,0.0036044184527926904,False
kd_variance,r32,k4,256,64,27218,"[1.0, 14.0, 16.0, 16.0, 16.0, 16.0, 16.0]",14.597251818649424,0.912328238665589,"[0.07175854635047736, 0.12627986348122866, 0.15625, 0.2033898305084746, 0.2727272727272727, 0.5, 1.0]",0.015651407157028438,0.08810230207824876,False
kd_variance,r32,k4,64,16,398889,"[1.0, 5.0, 9.0, 13.0, 16.0, 16.0, 16.0]",9.070420593197607,0.5669012870748504,"[0.07872340425531915, 0.1774193548387097, 0.24242424242424243, 0.35294117647058826, 0.5454545454545454, 1.0, 1.0]",0.23145286031953752,0.4326210497075137,True
kd_variance,r32,k16,256,64,27260,"[2.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.648789435069698,0.9780493396918561,"[0.07108778625954199, 0.11028246305555943, 0.13196046294635227, 0.16538899264620055, 0.21052631578947367, 0.34007729220222793, 0.8464730290456431]",0.0011371973587674248,0.022980496912993198,False
kd_variance,r32,k16,64,16,428430,"[1.0, 10.0, 14.0, 16.0, 16.0, 16.0, 16.0]",12.277412879583595,0.7673383049739747,"[0.07197943444730077, 0.13953488372093023, 0.1794871794871795, 0.25, 0.36363636363636365, 1.0, 1.0]",0.08343253273580281,0.23244494056529397,True
kd_variance,r32,k64,256,64,27261,"[4.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.931000330141961,0.9956875206338726,"[0.0672182006204757, 0.09894398530762168, 0.11574406901509705, 0.14136933461909354, 0.17543859649122806, 0.2755215619181807, 0.7273816656680647]",3.668244011591651e-05,0.005304687197344671,False
kd_variance,r32,k64,64,16,436440,"[1.0, 14.0, 16.0, 16.0, 16.0, 16.0, 16.0]",14.297782054807076,0.8936113784254422,"[0.07017543859649122, 0.11627906976744186, 0.14285714285714285, 0.1875, 0.2558139534883721, 0.5298440822111878, 1.0]",0.023710017413619285,0.10638994435355398,False
kd_variance,r32,original,256,64,27261,"[4.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.932137485785555,0.9957585928615972,"[0.06741342804453247, 0.09880095923261391, 0.11556010801750628, 0.14107738199684156, 0.17498379779650033, 0.27497579481910367, 0.7257584770969661]",3.668244011591651e-05,0.005225020150828041,False
kd_variance,r32,original,64,16,436474,"[1.0, 14.0, 16.0, 16.0, 16.0, 16.0, 16.0]",14.315968419653862,0.8947480262283664,"[0.06997742663656885, 0.1160844959352422, 0.14285714285714285, 0.1875, 0.2545454545454545, 0.5185185185185185, 1.0]",0.023261408468774773,0.10525622285969838,False
kd_variance,r32,k256,256,64,27261,"[11.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.989362092366385,0.999335130772899,"[0.06697614962828405, 0.08972033257747543, 0.10265769362381659, 0.12250884306789751, 0.14852912901365123, 0.2311696821319939, 0.5632248939179633]",0.0,0.0014472489722897608,False
kd_variance,r32,k256,64,16,438164,"[1.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.350836673026539,0.9594272920641587,"[0.06710853355426678, 0.09987966305655836, 0.11857707509881422, 0.14930555555555555, 0.19337016574585636, 0.35365853658536583, 1.0]",0.005299385618170366,0.0407724140401422,False
