layout,kind,cell,size,total_pairs,candidate_pairs,true_pairs,false_candidates,candidate_pair_fraction,false_candidate_share,total_tiles,occupied_tiles,rejected_tile_fraction,oracle_empty_tiles,empty_tile_recall,occupied_pair_capacity,occupied_capacity_fraction,work_amplification,information_limited
original,r16,k1024,256,1800030000,942102371,30759403,911342968,0.523381483086393,0.9673502541264701,27730,27730,0.0,0,,1800030000,1.0,1.910652234203962,True
original,r32,k4,16,1800030000,17563025,178659,17384366,0.009757073493219557,0.9898275496390855,7033125,6071409,0.1367409224206878,6916528,0.13904606473074352,1553830704,0.8632248929184514,88.47170142956581,False
original,r32,k4,32,1800030000,17563025,178659,17384366,0.009757073493219557,0.9898275496390855,1758750,1757047,0.0009683013503909027,1650153,0.0010320255152098017,1798286128,0.9990311983689161,102.39045540275664,False
original,r32,k4,64,1800030000,17563025,178659,17384366,0.009757073493219557,0.9898275496390855,440391,440391,0.0,348298,0.0,1800030000,1.0,102.48974763743718,False
original,r32,k4,256,1800030000,17563025,178659,17384366,0.009757073493219557,0.9898275496390855,27730,27730,0.0,1625,0.0,1800030000,1.0,102.48974763743718,False
original,r32,k16,16,1800030000,55967448,538429,55429019,0.031092508458192364,0.9903796042299445,7033125,7002833,0.004307047009686306,6600970,0.0045890225224474585,1792275248,0.995691876246507,32.02352996334584,False
original,r32,k16,32,1800030000,55967448,538429,55429019,0.031092508458192364,0.9903796042299445,1758750,1758750,0.0,1388385,0.0,1800030000,1.0,32.162088219566485,False
original,r32,k16,64,1800030000,55967448,538429,55429019,0.031092508458192364,0.9903796042299445,440391,440391,0.0,192407,0.0,1800030000,1.0,32.162088219566485,False
original,r32,k16,256,1800030000,55967448,538429,55429019,0.031092508458192364,0.9903796042299445,27730,27730,0.0,2,0.0,1800030000,1.0,32.162088219566485,False
original,r32,k64,16,1800030000,141982026,1961499,140020527,0.07887758870685489,0.9861848780774547,7033125,7033085,5.687372256287212e-06,5574024,7.176144200312019e-06,1800019760,0.9999943112059243,12.677800216768283,False
original,r32,k64,32,1800030000,141982026,1961499,140020527,0.07887758870685489,0.9861848780774547,1758750,1758750,0.0,769054,0.0,1800030000,1.0,12.677872338573335,False
original,r32,k64,64,1800030000,141982026,1961499,140020527,0.07887758870685489,0.9861848780774547,440391,440391,0.0,30246,0.0,1800030000,1.0,12.677872338573335,False
original,r32,k64,256,1800030000,141982026,1961499,140020527,0.07887758870685489,0.9861848780774547,27730,27730,0.0,0,,1800030000,1.0,12.677872338573335,False
original,r32,original,16,1800030000,143420637,1993039,141427598,0.079676803719938,0.9861035410127205,7033125,7033088,5.260819337065671e-06,5554182,6.661647025610612e-06,1800020528,0.99999473786548,12.550638218124774,False
