dataset,layout,cell,threshold,bound,tiles,pruned_tiles,pruned_tile_fraction,pruned_pairs,pruned_pair_fraction,ideal_empty_tiles,ideal_empty_tile_fraction,ideal_empty_pair_fraction,reference_entries,reference_occupancy_check
cifar60000,balanced_axis,k16,0.32358765602111816,ball,440391,0,0.0,0,0.0,392292,0.8907811467536803,0.8916012822008522,1016858,True
cifar60000,balanced_axis,k16,0.32358765602111816,aabb,440391,0,0.0,0,0.0,392292,0.8907811467536803,0.8916012822008522,1016858,True
cifar60000,balanced_axis,k16,0.32358765602111816,pivots,440391,0,0.0,0,0.0,392292,0.8907811467536803,0.8916012822008522,1016858,True
cifar60000,balanced_axis,k16,0.32358765602111816,pca32,440391,0,0.0,0,0.0,392292,0.8907811467536803,0.8916012822008522,1016858,True
cifar60000,balanced_axis,k16,0.32358765602111816,combined,440391,0,0.0,0,0.0,392292,0.8907811467536803,0.8916012822008522,1016858,True
cifar60000,balanced_axis,k64,0.39460235834121704,ball,440391,0,0.0,0,0.0,309180,0.7020579439634325,0.7024807364321706,3862998,True
cifar60000,balanced_axis,k64,0.39460235834121704,aabb,440391,0,0.0,0,0.0,309180,0.7020579439634325,0.7024807364321706,3862998,True
cifar60000,balanced_axis,k64,0.39460235834121704,pivots,440391,0,0.0,0,0.0,309180,0.7020579439634325,0.7024807364321706,3862998,True
cifar60000,balanced_axis,k64,0.39460235834121704,pca32,440391,0,0.0,0,0.0,309180,0.7020579439634325,0.7024807364321706,3862998,True
cifar60000,balanced_axis,k64,0.39460235834121704,combined,440391,0,0.0,0,0.0,309180,0.7020579439634325,0.7024807364321706,3862998,True
cifar60000,balanced_axis,original,0.3955230712890625,ball,440391,0,0.0,0,0.0,307696,0.698688211157812,0.6991038682688622,3926078,True
cifar60000,balanced_axis,original,0.3955230712890625,aabb,440391,0,0.0,0,0.0,307696,0.698688211157812,0.6991038682688622,3926078,True
cifar60000,balanced_axis,original,0.3955230712890625,pivots,440391,0,0.0,0,0.0,307696,0.698688211157812,0.6991038682688622,3926078,True
cifar60000,balanced_axis,original,0.3955230712890625,pca32,440391,0,0.0,0,0.0,307696,0.698688211157812,0.6991038682688622,3926078,True
cifar60000,balanced_axis,original,0.3955230712890625,combined,440391,0,0.0,0,0.0,307696,0.698688211157812,0.6991038682688622,3926078,True
cifar60000,balanced_axis,k256,0.4787180423736572,ball,440391,0,0.0,0,0.0,159655,0.36253011528391815,0.36223737604373263,15429428,True
cifar60000,balanced_axis,k256,0.4787180423736572,aabb,440391,0,0.0,0,0.0,159655,0.36253011528391815,0.36223737604373263,15429428,True
cifar60000,balanced_axis,k256,0.4787180423736572,pivots,440391,0,0.0,0,0.0,159655,0.36253011528391815,0.36223737604373263,15429428,True
cifar60000,balanced_axis,k256,0.4787180423736572,pca32,440391,0,0.0,0,0.0,159655,0.36253011528391815,0.36223737604373263,15429428,True
cifar60000,balanced_axis,k256,0.4787180423736572,combined,440391,0,0.0,0,0.0,159655,0.36253011528391815,0.36223737604373263,15429428,True
cifar60000,balanced_axis,k1024,0.5802154541015625,ball,440391,0,0.0,0,0.0,40578,0.09214084756500474,0.09128694077320934,61458806,True
cifar60000,balanced_axis,k1024,0.5802154541015625,aabb,440391,0,0.0,0,0.0,40578,0.09214084756500474,0.09128694077320934,61458806,True
cifar60000,balanced_axis,k1024,0.5802154541015625,pivots,440391,0,0.0,0,0.0,40578,0.09214084756500474,0.09128694077320934,61458806,True
cifar60000,balanced_axis,k1024,0.5802154541015625,pca32,440391,0,0.0,0,0.0,40578,0.09214084756500474,0.09128694077320934,61458806,True
cifar60000,balanced_axis,k1024,0.5802154541015625,combined,440391,0,0.0,0,0.0,40578,0.09214084756500474,0.09128694077320934,61458806,True
cifar60000,balanced_2means,k4,0.26085758209228516,ball,440391,0,0.0,0,0.0,434108,0.9857331326026191,0.9867816336394394,297318,True
cifar60000,balanced_2means,k4,0.26085758209228516,aabb,440391,0,0.0,0,0.0,434108,0.9857331326026191,0.9867816336394394,297318,True
cifar60000,balanced_2means,k4,0.26085758209228516,pivots,440391,0,0.0,0,0.0,434108,0.9857331326026191,0.9867816336394394,297318,True
cifar60000,balanced_2means,k4,0.26085758209228516,pca32,440391,10593,0.024053625074081895,43372544,0.024095456186841332,434108,0.9857331326026191,0.9867816336394394,297318,True
cifar60000,balanced_2means,k4,0.26085758209228516,combined,440391,10593,0.024053625074081895,43372544,0.024095456186841332,434108,0.9857331326026191,0.9867816336394394,297318,True
cifar60000,balanced_2means,k16,0.32358765602111816,ball,440391,0,0.0,0,0.0,424286,0.9634302245050421,0.9644588056865719,1016858,True
cifar60000,balanced_2means,k16,0.32358765602111816,aabb,440391,0,0.0,0,0.0,424286,0.9634302245050421,0.9644588056865719,1016858,True
cifar60000,balanced_2means,k16,0.32358765602111816,pivots,440391,0,0.0,0,0.0,424286,0.9634302245050421,0.9644588056865719,1016858,True
cifar60000,balanced_2means,k16,0.32358765602111816,pca32,440391,6308,0.014323635133324705,25837568,0.014353965211690916,424286,0.9634302245050421,0.9644588056865719,1016858,True
cifar60000,balanced_2means,k16,0.32358765602111816,combined,440391,6308,0.014323635133324705,25837568,0.014353965211690916,424286,0.9634302245050421,0.9644588056865719,1016858,True
cifar60000,balanced_2means,k64,0.39460235834121704,ball,440391,0,0.0,0,0.0,396388,0.9000819726107028,0.9010378538135475,3862998,True
cifar60000,balanced_2means,k64,0.39460235834121704,aabb,440391,0,0.0,0,0.0,396388,0.9000819726107028,0.9010378538135475,3862998,True
cifar60000,balanced_2means,k64,0.39460235834121704,pivots,440391,0,0.0,0,0.0,396388,0.9000819726107028,0.9010378538135475,3862998,True
cifar60000,balanced_2means,k64,0.39460235834121704,pca32,440391,3147,0.007145922600598105,12890112,0.007161053982433626,396388,0.9000819726107028,0.9010378538135475,3862998,True
cifar60000,balanced_2means,k64,0.39460235834121704,combined,440391,3147,0.007145922600598105,12890112,0.007161053982433626,396388,0.9000819726107028,0.9010378538135475,3862998,True
