process,repeat,cell,method,mode,seconds,executed_tiles,batches,output_sha256
0,1,k64,F16,layout_full,0.072846233000746,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F8,original_full,0.0697705299971858,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F8,geometric,0.0681108970020432,384759,94,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,1,k64,F8,layout_full,0.07292859299923293,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,2,k64,F8,geometric,0.06840268199448474,384759,94,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,2,k64,F8,original_full,0.07228159900114406,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,2,k64,F8,layout_full,0.0740612230001716,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,2,k64,F16,geometric,0.06985006600734778,384759,94,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,2,k64,F16,original_full,0.07282778399530798,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,2,k64,F16,layout_full,0.07358906899753492,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,3,k64,F16,geometric,0.0708884850027971,384759,94,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,3,k64,F16,layout_full,0.07362775100045837,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,3,k64,F16,original_full,0.07236111800011713,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,3,k64,F8,geometric,0.06875490301172249,384759,94,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,3,k64,F8,layout_full,0.07461695700476412,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,3,k64,F8,original_full,0.07046122600149829,440391,108,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
0,0,original,F16,original_full,0.07293807200039737,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,0,original,F16,layout_full,0.07359876199916471,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,0,original,F16,geometric,0.06928526300180238,384971,94,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,0,original,F8,original_full,0.07086066900228616,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,0,original,F8,layout_full,0.07266289700055495,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,0,original,F8,geometric,0.06918753701029345,384971,94,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,1,original,F8,original_full,0.0704217969905585,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,1,original,F8,geometric,0.06907996999507304,384971,94,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,1,original,F8,layout_full,0.07357782800681889,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,1,original,F16,original_full,0.07282284200482536,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,1,original,F16,geometric,0.0693037790042581,384971,94,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,1,original,F16,layout_full,0.07386948900239076,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,2,original,F16,geometric,0.06937042300705798,384971,94,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,2,original,F16,original_full,0.07265585400455166,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,2,original,F16,layout_full,0.07327385099779349,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,2,original,F8,geometric,0.06903234400670044,384971,94,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,2,original,F8,original_full,0.07023389900859911,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,2,original,F8,layout_full,0.07238892500754446,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,3,original,F8,geometric,0.06862438900861889,384971,94,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,3,original,F8,layout_full,0.07281081299879588,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,3,original,F8,original_full,0.07015576200501528,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,3,original,F16,geometric,0.07148486199730542,384971,94,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,3,original,F16,layout_full,0.07674243098881561,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,3,original,F16,original_full,0.0738205819943687,440391,108,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
0,0,k256,F8,original_full,0.13173487898893654,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,0,k256,F8,layout_full,0.13397556000563782,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,0,k256,F8,geometric,0.13211381000292022,400071,98,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,0,k256,F16,original_full,0.12591039200196974,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,0,k256,F16,layout_full,0.1263419979950413,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,0,k256,F16,geometric,0.12411817400425207,400071,98,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,1,k256,F16,original_full,0.12698526999156456,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,1,k256,F16,geometric,0.12506556199514307,400071,98,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,1,k256,F16,layout_full,0.12587081600213423,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,1,k256,F8,original_full,0.13201990000379737,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,1,k256,F8,geometric,0.13171151399728842,400071,98,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,1,k256,F8,layout_full,0.13397658499889076,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,2,k256,F8,geometric,0.13191200199071318,400071,98,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,2,k256,F8,original_full,0.13163130800239742,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,2,k256,F8,layout_full,0.13390958899981342,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,2,k256,F16,geometric,0.12390218400105368,400071,98,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,2,k256,F16,original_full,0.12550632200145628,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,2,k256,F16,layout_full,0.12648507198900916,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,3,k256,F16,geometric,0.1240819869999541,400071,98,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,3,k256,F16,layout_full,0.1263108910061419,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,3,k256,F16,original_full,0.12580195200280286,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,3,k256,F8,geometric,0.13183074499829672,400071,98,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,3,k256,F8,layout_full,0.13406516599934548,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,3,k256,F8,original_full,0.13154032800230198,440391,108,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
0,0,k1024,F16,original_full,0.34348675099317916,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,0,k1024,F16,layout_full,0.34270465599547606,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,0,k1024,F16,geometric,0.34114311399753205,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,0,k1024,F8,original_full,0.3817776700016111,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,0,k1024,F8,layout_full,0.37940087499737274,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,0,k1024,F8,geometric,0.3772497729951283,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,1,k1024,F8,original_full,0.37925579999864567,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,1,k1024,F8,geometric,0.3782268889917759,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,1,k1024,F8,layout_full,0.3788472570013255,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,1,k1024,F16,original_full,0.3446607119985856,440391,108,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
0,1,k1024,F16,geometric,0.3414835120056523,413156,101,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
